iter	RMSE
0	43.00476178
1	42.09043909
2	41.06328358
3	40.28407893
4	39.55701781
5	38.8437099
6	37.96849255
7	37.19223489
8	36.36738393
9	35.57192512
10	34.91656249
11	34.14739437
12	33.4448733
13	32.65719403
14	32.00507596
15	31.32174454
16	30.7241644
17	30.08549045
18	29.56112303
19	28.98784234
20	28.43533182
21	27.84309082
22	27.20762085
23	26.6756381
24	26.21263993
25	25.71847778
26	25.28444915
27	24.78955789
28	24.29259991
29	23.77194063
30	23.25388972
31	22.75198721
32	22.29799181
33	21.8556502
34	21.48249595
35	21.04281853
36	20.67319773
37	20.27654566
38	19.90828481
39	19.49075682
40	19.1934311
41	18.82920052
42	18.47064522
43	18.15586291
44	17.80416063
45	17.53300461
46	17.19885411
47	16.86657817
48	16.52478288
49	16.20157359
50	15.85809079
51	15.57294068
52	15.26206284
53	14.95482981
54	14.69303379
55	14.43558696
56	14.17232197
57	13.94499002
58	13.70442403
59	13.51031283
60	13.28635723
61	13.04751254
62	12.82900411
63	12.58037808
64	12.36907291
65	12.20845509
66	11.97256572
67	11.79807054
68	11.61639413
69	11.40099428
70	11.19023062
71	11.03439969
72	10.87986814
73	10.67673341
74	10.54001251
75	10.37031208
76	10.23987636
77	10.08889672
78	9.912803704
79	9.754820461
80	9.633042131
81	9.508237727
82	9.346661356
83	9.221850909
84	9.063193092
85	8.925947878
86	8.777245187
87	8.672045152
88	8.52192909
89	8.402322217
90	8.286558604
91	8.180386944
92	8.054129226
93	7.947131158
94	7.841144206
95	7.732125945
96	7.626185265
97	7.50532781
98	7.404066484
99	7.314961256
100	7.238462039
101	7.155832419
102	7.071163693
103	6.977024509
104	6.89685274
105	6.804392946
106	6.727913796
107	6.640277064
108	6.543122141
109	6.456469975
110	6.377529735
111	6.294514935
112	6.198758775
113	6.122961521
114	6.061451491
115	5.975335893
116	5.939401543
117	5.861600798
118	5.80221269
119	5.735421203
120	5.713798884
121	5.651329061
122	5.585616322
123	5.557365434
124	5.502141765
125	5.447116044
126	5.373133862
127	5.296207942
128	5.237961104
129	5.193028986
130	5.158375363
131	5.113609132
132	5.062194395
133	5.023675378
134	4.979823883
135	4.954401388
136	4.905380151
137	4.849223896
138	4.807020069
139	4.777904192
140	4.732462864
141	4.673168056
142	4.637238887
143	4.61458611
144	4.569663092
145	4.532113923
146	4.491496757
147	4.435651005
148	4.405137469
149	4.384476811
150	4.364846452
151	4.328164576
152	4.308603184
153	4.261128204
154	4.222539973
155	4.191842564
156	4.149820689
157	4.105010936
158	4.087661761
159	4.057929238
160	4.037946598
161	4.010983759
162	3.996312297
163	3.952967304
164	3.931939332
165	3.914165532
166	3.893352043
167	3.851661379
168	3.834041273
169	3.814760501
