iter	Passed	Remaining
0	51	51909
1	52	26379
2	53	17843
3	54	13560
4	55	11014
5	56	9326
6	57	8092
7	57	7144
8	58	6420
9	59	5894
10	61	5497
11	61	5099
12	62	4751
13	63	4451
14	63	4198
15	64	3979
16	65	3782
17	66	3602
18	66	3429
19	67	3294
20	68	3175
21	68	3066
22	69	2958
23	70	2858
24	71	2777
25	72	2707
26	73	2636
27	73	2563
28	74	2495
29	75	2429
30	75	2374
31	76	2318
32	77	2265
33	77	2215
34	78	2162
35	79	2115
36	79	2071
37	80	2031
38	80	1993
39	81	1961
40	82	1928
41	83	1901
42	83	1869
43	84	1843
44	85	1817
45	86	1786
46	86	1761
47	87	1736
48	88	1710
49	88	1688
50	89	1669
51	91	1660
52	91	1639
53	92	1617
54	92	1597
55	93	1572
56	94	1556
57	94	1541
58	95	1525
59	95	1503
60	96	1487
61	97	1471
62	97	1456
63	98	1443
64	99	1433
65	100	1429
66	102	1422
67	102	1411
68	103	1398
69	104	1386
70	105	1374
71	105	1363
72	106	1350
73	107	1340
74	107	1329
75	108	1319
76	109	1307
77	109	1297
78	110	1287
79	111	1277
80	111	1268
81	112	1258
82	113	1249
83	114	1247
84	115	1240
85	116	1233
86	116	1226
87	117	1219
88	118	1210
89	118	1202
90	119	1197
91	120	1188
92	121	1180
93	121	1171
94	122	1163
95	122	1154
96	123	1146
97	123	1140
98	124	1132
99	125	1127
100	126	1124
101	128	1127
102	128	1122
103	130	1122
104	131	1118
105	131	1112
106	132	1108
107	133	1103
108	134	1098
109	135	1094
110	136	1089
111	136	1084
112	137	1078
113	138	1073
114	138	1068
115	139	1063
116	140	1059
117	141	1057
118	142	1054
119	143	1051
120	143	1045
121	144	1040
122	145	1035
123	145	1028
124	146	1022
125	146	1018
126	147	1012
127	148	1008
128	148	1003
129	149	1000
130	150	997
131	151	993
132	151	989
133	152	986
134	153	982
135	154	981
136	155	978
137	155	974
138	156	972
139	157	968
140	158	964
141	158	960
142	159	956
143	160	952
144	160	948
145	161	945
146	162	941
147	162	937
148	163	933
149	163	929
150	165	927
151	165	925
152	166	920
153	167	917
154	167	915
155	168	911
156	169	910
157	170	908
158	170	903
159	171	900
160	172	896
161	172	894
162	173	889
163	173	886
164	174	883
165	175	879
166	175	876
167	176	873
168	176	868
169	177	865
170	177	862
171	178	859
172	179	855
173	179	852
174	179	848
175	180	844
176	181	842
177	181	840
178	182	839
179	183	835
180	184	833
181	184	829
182	185	826
183	185	823
184	186	820
185	186	818
186	187	815
187	187	811
188	188	808
189	189	805
190	189	802
191	190	799
192	190	797
193	191	794
194	191	791
195	192	789
196	192	786
197	193	784
198	194	781
199	194	779
200	195	776
201	196	774
202	196	773
203	197	771
204	198	768
205	198	765
206	199	763
207	199	760
208	200	758
209	200	755
210	201	752
211	201	749
212	202	746
213	202	744
214	203	741
215	203	739
216	204	736
217	204	734
218	205	732
219	205	730
220	206	728
221	207	726
222	207	724
