iter	Passed	Remaining
0	0	839
1	1	818
2	2	779
3	3	762
4	3	774
5	4	759
6	5	734
7	5	720
8	6	712
9	7	715
10	7	710
11	8	715
12	9	717
13	10	714
14	10	714
15	11	713
16	12	717
17	13	720
18	13	720
19	14	716
20	15	714
21	15	703
22	16	706
23	17	706
24	18	708
25	19	715
26	19	715
27	20	714
28	21	710
29	21	708
30	22	705
31	23	699
32	23	693
33	24	689
34	24	685
35	25	677
36	25	673
37	26	669
38	26	665
39	27	660
40	28	655
41	28	651
42	29	651
43	29	651
44	30	651
45	31	652
46	32	652
47	32	653
48	33	655
49	34	657
50	35	656
51	35	655
52	36	654
53	37	653
54	37	651
55	38	647
56	39	645
57	39	642
58	40	639
59	40	636
60	41	633
61	41	633
62	42	631
63	42	628
64	43	628
65	44	627
66	45	636
67	46	638
68	47	638
69	47	637
70	48	636
71	49	635
72	50	638
73	51	640
74	51	639
75	52	636
76	52	633
77	53	634
78	54	631
79	54	628
80	55	626
81	55	624
82	56	622
83	56	620
84	57	618
85	58	616
86	58	614
87	59	613
88	59	610
89	60	609
90	60	608
91	61	608
92	62	606
93	62	604
94	63	603
95	63	602
96	64	601
97	65	601
98	65	599
99	66	598
100	67	597
101	67	595
102	68	594
103	68	593
104	69	591
105	70	590
106	70	589
107	71	587
108	71	586
109	72	585
110	72	583
111	73	583
112	74	582
113	74	581
114	76	589
115	77	590
116	78	593
117	79	594
118	80	593
119	81	594
120	81	594
121	82	592
122	83	593
123	83	592
124	84	592
125	85	592
126	85	590
127	86	589
128	87	589
129	87	588
130	88	588
131	89	587
132	89	586
133	90	585
134	91	583
135	91	582
136	92	581
137	92	580
138	93	578
139	94	578
140	95	581
141	96	581
142	96	578
143	97	577
144	97	577
145	98	576
146	99	575
147	99	575
148	100	573
149	101	573
150	101	572
151	102	570
152	102	569
153	103	568
154	103	566
155	104	565
156	105	564
157	105	563
158	106	562
159	106	561
160	107	559
161	107	556
162	108	555
163	108	554
164	109	554
165	110	552
166	110	551
167	111	550
168	111	549
169	112	547
170	112	546
171	113	544
172	113	542
173	113	540
174	114	538
175	114	537
176	115	535
177	115	533
178	116	532
179	116	530
180	116	528
181	117	527
182	117	525
183	118	524
184	118	522
185	119	520
186	119	519
187	119	518
188	120	516
189	120	515
190	121	513
191	121	512
192	122	510
193	122	509
194	123	509
195	123	507
196	124	505
197	124	504
198	124	502
199	125	500
200	125	499
201	126	498
202	126	496
203	126	495
